domain,opr_pagerank,opr_global_rank,tranco_rank,majestic_rank,is_ua
profiline.ua,4.37,96380,,,1
dim-sb.com,3.9,1457002,,,0
alp.com.ua,3.74,1533431,554626,659432,1
inoxstore.com.ua,3.73,1555276,,,1
zhaba-igor.com,3.73,1555913,,,0
aqua-life.ua,3.27,2914344,,,1
fishki.ua,3.16,3565699,,775167,1
supersumka.net,3.14,3656383,,,0
coffeetrade.ua,3.13,3700687,,769720,1
zolotoy-standart.com.ua,3.13,3701046,,703138,1
posters.md,3.1,3891315,,,0
hillary.ua,3.07,4089802,379746,,1
lantale.com.ua,3.07,4097306,,834625,1
chernomor-cosmetics.ua,3.02,4521935,,,1
in-green.com.ua,2.99,4789343,972871,700123,1
worldvision.com.ua,2.99,4790571,,951828,1
milkyvape.shop,2.96,5058660,,,0
brooklet.com.ua,2.94,5237501,,,1
koffer.ua,2.92,5463605,907413,,1
wookie.com.ua,2.9,5815274,166935,476543,1
beerfreak.org,2.9,5774601,,,0
mebelopt.ua,2.9,5773569,,,1
medtehnikalife.com.ua,2.9,5864315,,,1
sens.in.ua,2.89,5940427,819083,,1
franke-partner.com.ua,2.87,6149568,,,1
modeland.com.ua,2.87,6187829,,,1
technonicol.com.ua,2.87,6131672,,,1
lanota.com.ua,2.86,6325538,726460,,1
svitparketu.com.ua,2.85,6450412,,,1
grossmeister.com.ua,2.84,6537641,,,1
amador.com,2.82,6737249,,,0
filmexpro.ua,2.82,6660466,,,1
mobiletrend.com.ua,2.8,7076682,,,1
soundstore.com.ua,2.8,7067512,,,1
solar.biz.ua,2.78,7301076,,,1
geekach.com.ua,2.77,7488164,492282,401550,1
flash-skate.com.ua,2.77,7481240,,,1
poteshki.com.ua,2.77,7512407,,,1
ponova.com.ua,2.75,7818994,523420,,1
cosmic.com.ua,2.74,7967680,,,1
edem-textile.com.ua,2.74,7960662,,,1
knyharnia.eu,2.74,7891333,,,0
tovarystvo-kraftu.com,2.74,7934058,,,0
brazil-prof.com,2.73,8217243,,,0
cartools.com.ua,2.73,8128938,,,1
lordofboards.com.ua,2.73,8088194,,746439,1
kazanova.ua,2.72,8293156,,933141,1
velopodium.com.ua,2.71,8480853,940547,,1
740.com.ua,2.71,8438869,,,1
hollyskin.com.ua,2.7,8757517,710685,,1
homefood.ua,2.7,8804138,782584,,1
granitlion.com.ua,2.7,8774585,,,1
unisport.ua,2.69,9058326,,,1
bonro.ua,2.68,9300278,669767,,1
dubhumans.com,2.68,9185537,,,0
vorota-center.com.ua,2.68,9412580,,,1
tramp.in.ua,2.67,9551500,829229,,1
airunit.com.ua,2.67,9629538,,,1
lambre.ua,2.67,9589276,,,1
tactic4profi.com,2.67,9615804,,,0
titan.ua,2.67,9727286,,,1
amebli.com.ua,2.66,9892741,751842,,1
hadatcosmetics.store,2.66,9901919,,,0
teplorry.com.ua,2.66,9890548,,,1
guitarhouse.com.ua,2.65,10051850,741078,,1
clubpuer.com.ua,2.65,10122366,764106,,1
a-mega-auto.com,2.65,10204041,,,0
kubik.in.ua,2.65,10080576,,,1
viopol.com.ua,2.65,10000160,,,1
zadeshevo.com.ua,2.65,10055215,,,1
yuki.ua,2.64,10432375,426270,968228,1
evo.net.ua,2.64,10258846,,,1
kiddiua.com.ua,2.63,10633408,,,1
good-harvest.ua,2.62,10858050,454601,,1
doctor-h.com.ua,2.62,10960094,567203,676643,1
matrasroll.com.ua,2.62,10835218,796932,,1
efarm.pro,2.62,10993668,,,0
kompozit.ua,2.62,10917262,,,1
ptashkinsad.com,2.62,10833186,,,0
5g.in.ua,2.61,11088707,,,1
delikatto.com.ua,2.61,11108877,,,1
petroline.ua,2.61,11097358,,,1
blackpink.com.ua,2.6,11407260,,,1
pearl-styles.com,2.6,11553786,,,0
viltrox.com.ua,2.6,11467609,,,1
usavitamines.com.ua,2.59,11715184,697076,,1
medshvetsmarka.com.ua,2.59,11794138,,,1
obuv-complekt.com,2.59,11642496,,806115,0
prostoneba.ua,2.59,11793919,,,1
self-lover.store,2.59,11904016,,,0
canna-seeds.com.ua,2.58,12170206,588457,,1
cultiva.com.ua,2.58,12163746,766176,,1
101matras.ua,2.58,12179097,,,1
aqua-favorit.com.ua,2.58,12078005,,,1
kipr.kiev.ua,2.58,12003433,,,1
alfa-server.com.ua,2.57,12296627,,,1
bag24.com.ua,2.56,12781401,598791,,1
agramant.com,2.56,12882994,,,0
powerup.ua,2.56,12786338,,,1
shambala.com.ua,2.55,13068712,630932,,1
imi.ua,2.55,13152380,784416,,1
arnage.com.ua,2.55,13168643,,,1
babyhoodpolska.pl,2.55,13164605,,,0
erotim.com.ua,2.55,13168649,,,1
fagus.ua,2.55,13164628,,,1
flamingotex.com.ua,2.55,13038847,,,1
housstore.in.ua,2.55,13237428,,,1
khorek.com,2.55,13168617,,,0
loadup.com.ua,2.55,13152122,,,1
melnik-bags.com.ua,2.55,13168654,,,1
miraclekids.com.ua,2.55,13088584,,,1
office-better.com,2.55,12974040,,,0
polyabluka.com,2.55,13168622,,,0
ruvas.ua,2.55,13148538,,,1
serebro.ua,2.55,13119822,,,1
shift.ua,2.55,13200090,,,1
stalevar.ua,2.55,13149147,,,1
tabenergy.com.ua,2.55,13168660,,,1
voblerok.ua,2.55,13149177,,,1
krkr.com.ua,2.54,13548184,572012,933503,1
strikeshop.com.ua,2.54,13316886,823854,,1
wellamart.ua,2.54,13481531,835100,,1
bezpeka.com.ua,2.54,13537996,,,1
safeyourlove.com,2.54,13330673,,,0
sexybra.com.ua,2.54,13310542,,,1
maverick.ua,2.53,13816602,796991,,1
cleanairlove.com,2.53,13897836,,,0
easyvape.net,2.53,13903237,,,0
ergo.place,2.53,13705813,,,0
gummy.com.ua,2.53,13647846,,,1
impact.ua,2.53,13656747,,,1
pro100gym.com.ua,2.53,13625686,,,1
10sotok.com.ua,2.52,14185097,744669,,1
50m.com.ua,2.52,14080586,,,1
dorus.com.ua,2.52,14048104,,,1
healthfit.com.ua,2.52,14173773,,,1
kulturrra.coffee,2.52,14122919,,,0
redprice.sale,2.52,14210992,,,0
saren.com.ua,2.52,14142287,,,1
semtech.com.ua,2.52,14228682,,,1
smartzoo.ua,2.52,14128851,,,1
techon.com.ua,2.52,14154212,,,1
timesport.com.ua,2.52,14227955,,,1
tomdom.in.ua,2.52,14227697,,,1
cyberdream.com.ua,2.51,14262077,,,1
instant.com.ua,2.51,14552745,,,1
piramida24.com.ua,2.51,14451689,,,1
a-radio.com.ua,2.5,14767722,,,1
nexon.ua,2.49,15509591,803571,,1
procosmetix.com.ua,2.49,15418446,,,1
yorick.productions,2.49,15379238,,,0
zaya.ua,2.48,15668710,705838,,1
arp.co.ua,2.48,15694741,,,1
oxidom.com,2.48,15648561,,,0
pxl.ua,2.48,15710264,,,1
a-comms.com.ua,2.47,16348574,,,1
arfen.net.ua,2.47,16244104,,,1
happyelk.com.ua,2.47,16192594,,,1
hroomroom.online,2.47,16245755,,,0
lavra.com,2.47,16413534,,,0
loveyself.com.ua,2.47,16279900,,,1
dsh.com.ua,2.46,16517928,769794,,1
simvolt.ua,2.46,16598173,,,1
idealsport.com.ua,2.45,17505488,599914,,1
gzpt.com.ua,2.45,17483820,780616,,1
pkf-lio.com.ua,2.45,17005517,810085,,1
ballistic.com.ua,2.45,17043782,,,1
biovet.ua,2.45,16915700,,,1
derby.ua,2.45,17141463,,,1
deshevle-net.com.ua,2.45,16826804,,,1
e-k.com.ua,2.45,17261341,,,1
icd.com.ua,2.45,16886031,,,1
kapitan.ua,2.45,16883439,,742254,1
metalbudservice.kiev.ua,2.45,16970853,,,1
moonshine.com.ua,2.45,16902394,,,1
sayyes.com.ua,2.45,17045843,,,1
stemar.com.ua,2.45,17513813,,,1
tsypa.beer,2.45,16937573,,,0
vmiske.ua,2.45,16886577,,,1
bujobox.com.ua,2.44,17547742,760055,,1
shopforcars.in.ua,2.44,17900549,820057,,1
happygaga.com.ua,2.44,17798511,,,1
invafishki.shop,2.44,17683068,,,0
minilook.com.ua,2.44,17516239,,,1
pandatrade.com.ua,2.44,17546609,,,1
veloliga.in.ua,2.44,17981909,,,1
brille.ua,2.43,18153026,530737,481256,1
folkmart.ua,2.43,18206835,775785,,1
prodecor.net.ua,2.43,18140599,812037,,1
airontrade.com.ua,2.43,18346840,,,1
airontrade.ua,2.43,18291966,,,1
bezpeka-veritas.com.ua,2.43,18376502,,,1
chaiq.com.ua,2.43,18140338,,,1
exult.ua,2.43,18290084,,,1
fabrika-comforta.com.ua,2.43,18211092,,,1
hubstore.com.ua,2.43,18028771,,,1
nanoge.store,2.43,18243958,,,0
optom.km.ua,2.43,18244083,,,1
pl.zaya.com.ua,2.43,18413662,,,1
profi-perukar.com.ua,2.43,18194330,,,1
servermall.com.ua,2.43,18033549,,,1
slavles.in.ua,2.43,18140112,,,1
snapt.ua,2.43,18378131,,,1
streetwear.kyiv.ua,2.43,18323260,,,1
termozona.com.ua,2.43,18032276,,,1
torgshop.com.ua,2.43,18250023,,918759,1
vintok.com.ua,2.43,18026802,,,1
yasmin-tex.com.ua,2.43,18244055,,,1
deeply.com.ua,2.42,18978628,767363,,1
hempfactor.ua,2.42,18568040,,,1
poputchik.ua,2.42,18983858,,,1
ptichkinsad.com,2.42,18727528,,,0
avante.com.ua,2.41,19130721,,,1
boltex.com.ua,2.41,19599399,,,1
gsm-ka.com.ua,2.41,19173316,,,1
m-gear.ua,2.41,19113523,,,1
sholomy.arp.co.ua,2.41,19515968,,,1
vino.ua,2.41,19553589,,,1
zalizna-kramnytsia.com,2.41,19391798,,,0
bazaobuvi.com.ua,2.4,19963376,924763,,1
aftactic.com,2.4,20292350,,,0
drone-frames.com.ua,2.4,20239317,,,1
gudzgallery.com,2.4,19829464,,,0
jam-media.com.ua,2.4,20042790,,,1
motoroil24.com.ua,2.4,19714047,,,1
servua.com,2.4,20203248,,,0
sony-playstation.com.ua,2.4,19822311,,,1
sportmarket.net.ua,2.4,19715853,,,1
opt-shkarpetok.com,2.39,20861322,544628,,0
wahagray.com,2.39,20448356,834507,,0
