domain,scripts_count,total_bytes,status
hillary.ua,8,51501,ok
dim-sb.com,0,0,no_custom_scripts
fishki.ua,0,0,no_custom_scripts
profiline.ua,0,0,no_custom_scripts
alp.com.ua,1,582,ok
supersumka.net,0,0,no_custom_scripts
chernomor-cosmetics.ua,0,0,no_custom_scripts
zhaba-igor.com,0,0,no_custom_scripts
coffeetrade.ua,5,20492,ok
milkyvape.shop,2,6634,ok
wookie.com.ua,3,2742,ok
mebelopt.ua,0,0,no_custom_scripts
brooklet.com.ua,0,0,no_custom_scripts
zolotoy-standart.com.ua,0,0,no_custom_scripts
inoxstore.com.ua,1,846,ok
worldvision.com.ua,0,0,no_custom_scripts
aqua-life.ua,1,2634,ok
beerfreak.org,0,0,no_custom_scripts
medtehnikalife.com.ua,1,531,ok
amador.com,1,3186,ok
koffer.ua,0,0,no_custom_scripts
grossmeister.com.ua,0,0,no_custom_scripts
technonicol.com.ua,1,583,ok
franke-partner.com.ua,0,0,no_custom_scripts
filmexpro.ua,2,1759,ok
modeland.com.ua,0,0,no_custom_scripts
lantale.com.ua,2,10848,ok
posters.md,1,913,ok
sens.in.ua,2,2048,ok
in-green.com.ua,4,180066,ok
geekach.com.ua,1,664,ok
svitparketu.com.ua,0,0,no_custom_scripts
solar.biz.ua,0,0,no_custom_scripts
soundstore.com.ua,0,0,no_custom_scripts
tovarystvo-kraftu.com,0,0,no_custom_scripts
lordofboards.com.ua,2,7317,ok
ponova.com.ua,0,0,no_custom_scripts
mobiletrend.com.ua,1,2281,ok
brazil-prof.com,1,664,ok
cartools.com.ua,0,0,no_custom_scripts
flash-skate.com.ua,0,0,no_custom_scripts
poteshki.com.ua,1,559,ok
knyharnia.eu,0,0,no_custom_scripts
kazanova.ua,6,28453,ok
edem-textile.com.ua,2,6594,ok
velopodium.com.ua,1,583,ok
cosmic.com.ua,0,0,no_custom_scripts
bonro.ua,1,660,ok
lambre.ua,2,1498,ok
hollyskin.com.ua,0,0,no_custom_scripts
dubhumans.com,1,15805,ok
lanota.com.ua,2,1148,ok
homefood.ua,1,5372,ok
granitlion.com.ua,0,0,no_custom_scripts
vorota-center.com.ua,1,619,ok
airunit.com.ua,4,237125,ok
titan.ua,0,0,no_custom_scripts
tactic4profi.com,1,627,ok
amebli.com.ua,1,846,ok
tramp.in.ua,0,0,no_custom_scripts
teplorry.com.ua,14,67858,ok
hadatcosmetics.store,0,0,no_custom_scripts
clubpuer.com.ua,0,0,no_custom_scripts
zadeshevo.com.ua,2,6740,ok
a-mega-auto.com,1,679,ok
guitarhouse.com.ua,1,3425,ok
unisport.ua,1,559,ok
yuki.ua,3,20631,ok
kubik.in.ua,0,0,no_custom_scripts
matrasroll.com.ua,2,2322,ok
kompozit.ua,0,0,no_custom_scripts
740.com.ua,0,0,no_custom_scripts
good-harvest.ua,0,0,no_custom_scripts
evo.net.ua,1,583,ok
kiddiua.com.ua,3,3667,ok
viopol.com.ua,0,0,no_custom_scripts
prostoneba.ua,1,902,ok
ptashkinsad.com,2,4041,ok
efarm.pro,1,583,ok
usavitamines.com.ua,0,0,no_custom_scripts
viltrox.com.ua,1,5838,ok
